Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Truyện Kiều,Nguyễn Du,"",8935236402569,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
East of Eden,John Steinbeck,"",9780142000656,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
"Good Girl, Bad Blood",Holly Jackson,"",9781405297752,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Trial,"Max Brod, Franz Kafka","Willa Muir (Translator), Edwin Muir (Translator)","",paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
A Court of Mist and Fury,Sarah J. Maas,"",9781635575583,paperback,read,2024/11/11,2024/06/14,2024/06/14,1,"",,,,,,,5.0,,"",,"",No
Picking Daisies on Sundays,Liana Cincotti,"","",paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Gone with the Wind,Margaret Mitchell,"",9780446365383,paperback,to-read,2025/06/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
I Leave It Up to You,Jinwoo Chong,"",9780593727065,digital,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
Stolen Girl,Marsha Forchuk Skrypuch,"",9781338233049,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
In Five Years,Rebecca Serle,"",9781982137441,hardcover,to-read,2025/06/12,"","",0,"",,,,,,,,,"",,"",No
A Gentleman in Moscow,Amor Towles,"","",hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,to-be-read,No
Don Quixote,Miguel de Cervantes,Walter Starkie,9780451525079,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Call It What You Want,Alissa DeRogatis,"",9781464223365,paperback,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
A Court of Thorns and Roses,Sarah J. Maas,"",9781635575569,paperback,read,2024/11/11,2024/06/07,2024/06/07,1,"",,,,,,,3.0,,"",,"",No
Convenience Store Woman,Sayaka Murata,Ginny Tapley Takemori (Translator),9780802128256,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Sense and Sensibility,Jane Austen,"Ros Ballaster (Contributor), Tony Tanner (Contributor)",9780141439662,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Today Tonight Tomorrow,Rachel Lynn Solomon,"",9781534440241,hardcover,read,2024/11/11,2024/06/16,2024/06/16,1,"",,,,,,,4.0,,"",,"",No
Les Misérables,Victor Hugo,"Lee Fahnestock (Translator), Norman MacAfee (Translator)",9780451525260,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Book Thief,Markus Zusak,Trudy White (Illustrator),9781743515860,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
A Song to Drown Rivers,Ann Liang,"",9781250289469,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Candide,Voltaire,"",9780486266893,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Restart,Gordon Korman,"",9781338053777,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
To Kill a Mockingbird,Harper Lee,"",0446310506,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Anatomy: A Love Story,Dana Schwartz,"Tim Campbell (Narrator), Mhairi Morrison (Narrator)",9781250840578,audio,to-read,2025/01/30,"","",0,"",,,,,,,,,"",,"",No
Lysistrata,Aristophanes,Sarah Ruden (Translator),9780872206038,paperback,to-read,2025/06/06,"","",0,"",,,,,,,,,"",,to-be-read,No
All of Us Villains,"C.L. Herman, Amanda Foody","",9781250789259,hardcover,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"","",,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Anna Karenina,Leo Tolstoy,"Louise Maude (Translator), Constance Garnett (Translator), George Gibian (Translator), Dmitriy Butko (Translator), Aylmer Maude (Translator)",9780345803924,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Silent Patient,Alex Michaelides,"",9781250301697,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Cỏ hạnh phúc: chúng ta mạnh mẽ hơn, chúng ta vẫn nghĩ : tản văn",Hari Won,"",9786049575563,,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Nightingale,Kristin Hannah,"",9780312577223,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Diary of a Young Girl,Anne Frank,"",9781989879207,digital,to-read,2025/12/31,"","",0,"",,,,,,,,,"",,"",No
This Time It's Real,Ann Liang,"",9781338827118,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Homo Deus: A History of Tomorrow,Yuval Noah Harari,"",9781473545571,paperback,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
Life of Pi,Yann Martel,"",9780770430078,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Gone Girl,Gillian Flynn,"",9780307588371,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
A Gentleman in Moscow,Amor Towles,"","",digital,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,to-be-read,No
The Do-Over,Lynn Painter,"",9781534478879,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Past Present Future,Rachel Lynn Solomon,"",9781665901956,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Castle of Otranto,Horace Walpole,"",9780192834409,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Crime and Punishment (Abridged),Fyodor Dostoevsky,Alex Jennings (Narrator),9780143058144,audio,did-not-finish,2026/01/04,"","",0,"",,,,,,,,<div>i hate dostoevsky yapping my ear off</div>,"","","",No
Catch-22,Joseph Heller,"",9780684833392,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Invisible Man,Ralph Ellison,"",9780241970560,paperback,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
Brave New World,Aldous Huxley,"",9780060929879,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Book Lovers,Emily Henry,"",9780593440872,hardcover,read,2025/05/26,2025/06/02,2025/05/26-2025/06/02,1,"emotional, hopeful, informative, lighthearted, reflective, sad, tense",medium,"","","","","",5.0,<div>Fucking amazing</div>,"","","",No
Once Upon a Broken Heart,Stephanie Garber,"",9781250268396,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
"A Hope More Powerful Than the Sea: One Refugee's Incredible Story of Love, Loss, and Survival",Melissa Fleming,"",9781250105998,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Awkward,Svetlana Chmakova,"",9780316381307,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
The Soulmate Equation,Christina Lauren,"",9781982171117,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Othello,William Shakespeare,"",9781986849401,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
The Fault in Our Stars,John Green,"",9780143567592,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
